season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json,rank
2024,2024RMUC,RMUC,499,中部赛区,A组,2,南方科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665910623-logo_orange_800x800.png,ARTINX,3/0/0,3,-3,698,321,3967,"{""对手分"": -3, ""局均全队总伤害血量"": 3967, ""局均总前哨站净胜血量"": 321, ""局均总基地净胜血量"": 698, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,3,北京理工大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667569344-logo_green_800x800.png,追梦,2/0/1,2,8,1207,-182,5319,"{""对手分"": 8, ""局均全队总伤害血量"": 5319, ""局均总前哨站净胜血量"": -182, ""局均总基地净胜血量"": 1207, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,4,桂林信息科技学院,https://rm-static.djicdn.com/games-backend/432392cd-dff4-4b78-aa00-68641f3da5ee,GIRT,2/0/1,2,2,1111,273,5174,"{""对手分"": 2, ""局均全队总伤害血量"": 5174, ""局均总前哨站净胜血量"": 273, ""局均总基地净胜血量"": 1111, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,5,华中科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675209294-logo_blue_800x800.png,狼牙,2/0/1,2,0,-450,-25,4469,"{""对手分"": 0, ""局均全队总伤害血量"": 4469, ""局均总前哨站净胜血量"": -25, ""局均总基地净胜血量"": -450, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,6,哈尔滨工程大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665837757-logo_blue_800x800.png,创梦之翼,2/0/1,2,-3,-417,41,3750,"{""对手分"": -3, ""局均全队总伤害血量"": 3750, ""局均总前哨站净胜血量"": 41, ""局均总基地净胜血量"": -417, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,7,沈阳航空航天大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525668135842-logo_blue_800x800.png,TUP,2/0/1,2,-5,-170,179,4748,"{""对手分"": -5, ""局均全队总伤害血量"": 4748, ""局均总前哨站净胜血量"": 179, ""局均总基地净胜血量"": -170, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,8,太原工业学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/c7de86e0-a829-4d6d-9329-3228f57ded92,火线,2/0/1,2,-7,609,242,4306,"{""对手分"": -7, ""局均全队总伤害血量"": 4306, ""局均总前哨站净胜血量"": 242, ""局均总基地净胜血量"": 609, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,9,合肥工业大学,https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,苍穹,1/0/2,1,8,-733,95,4023,"{""对手分"": 8, ""局均全队总伤害血量"": 4023, ""局均总前哨站净胜血量"": 95, ""局均总基地净胜血量"": -733, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,10,山东科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675697079-logo_blue_800x800.png,SmartRobot,1/0/2,1,6,-160,-107,4439,"{""对手分"": 6, ""局均全队总伤害血量"": 4439, ""局均总前哨站净胜血量"": -107, ""局均总基地净胜血量"": -160, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,11,青岛大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/a5fece37-9a43-40a6-89a7-154a35a20ffb,未来,1/0/2,1,-1,-765,121,2319,"{""对手分"": -1, ""局均全队总伤害血量"": 2319, ""局均总前哨站净胜血量"": 121, ""局均总基地净胜血量"": -765, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,12,东北林业大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678704382-logo_green_800x800.png,Ares,1/0/2,1,-4,-143,191,3125,"{""对手分"": -4, ""局均全队总伤害血量"": 3125, ""局均总前哨站净胜血量"": 191, ""局均总基地净胜血量"": -143, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
