season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,rank,w_d_l,points,total_victory_point_diff,total_team_damage,total_robot_hp_remaining,metrics_json
2026,2026RMUL,RMUL,582,华南站,C组,2,哈尔滨工业大学（深圳）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e67c1d7c-25e6-4491-9f63-58c7bdba727e,南工骁鹰,2,1/1/0,4,54,6442,1708,"{""全队总伤害血量"": 6442, ""全队机器人总剩余血量"": 1708, ""总净胜胜利点"": 54, ""排名"": 2, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,582,华南站,C组,3,广东海洋大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/4635e1c8-0428-4b25-9560-adaba197d770,浪潮,3,0/0/2,0,-430,2780,834,"{""全队总伤害血量"": 2780, ""全队机器人总剩余血量"": 834, ""总净胜胜利点"": -430, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,D组,1,华南农业大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/c8db6f26e28841fba220adc7710b07871762017323697/img_v3_02rk_5db0ce6e-139d-4242-ac48-5a2a0e25056g.png,Taurus,1,2/0/0,6,735,8129,3338,"{""全队总伤害血量"": 8129, ""全队机器人总剩余血量"": 3338, ""总净胜胜利点"": 735, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,D组,2,广东交通职业技术学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/51edbdc5-af8a-460f-bedf-e6dd618f8346,擎天,2,1/0/1,3,-132,4336,2061,"{""全队总伤害血量"": 4336, ""全队机器人总剩余血量"": 2061, ""总净胜胜利点"": -132, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,D组,3,广州南方学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ba5c9354-6a31-45dd-b0bb-d3cbc090236c,南風,3,0/0/2,0,-603,300,2390,"{""全队总伤害血量"": 300, ""全队机器人总剩余血量"": 2390, ""总净胜胜利点"": -603, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,E组,1,佛山大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/12af8ff6ddcf485aaee6e967a09db4c51772771556030/8c88f498-f507-46b6-b4fa-c4e0da189364.png,醒狮,1,2/0/0,6,776,13153,3648,"{""全队总伤害血量"": 13153, ""全队机器人总剩余血量"": 3648, ""总净胜胜利点"": 776, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,E组,2,南方科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665910623-logo_orange_800x800.png,ARTINX,2,1/0/1,3,-42,2880,2172,"{""全队总伤害血量"": 2880, ""全队机器人总剩余血量"": 2172, ""总净胜胜利点"": -42, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,E组,3,广州大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/a776473aa2ad4fcca6bac0e85fa09d6f1772716415500/gzhu-800x800.png,庆园阁,3,0/0/2,0,-734,1951,3184,"{""全队总伤害血量"": 1951, ""全队机器人总剩余血量"": 3184, ""总净胜胜利点"": -734, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,F组,1,广州城市理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/9365936c-3c07-449d-8e0e-2ed9e050e0f3,野狼,1,2/0/0,6,738,9718,3120,"{""全队总伤害血量"": 9718, ""全队机器人总剩余血量"": 3120, ""总净胜胜利点"": 738, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,F组,2,深圳大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667668942-logo_red_800x800.png,RobotPilots,2,1/0/1,3,-340,4959,1915,"{""全队总伤害血量"": 4959, ""全队机器人总剩余血量"": 1915, ""总净胜胜利点"": -340, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
