rank,college_name,english_name,score
219,华侨大学,Huaqiao University,3.15
220,复旦大学,Fudan University,3.125
220,江南大学霞客湾校区,"Jiangnan University, Xiakewan Campus",3.125
222,新乡学院,Xinxiang College,2.975
223,常州工学院,Changzhou Institute of Technology,2.75
223,河北大学,Hebei University,2.75
223,湖南工学院,Hunan Institute of Technology,2.75
226,天津理工大学,Tianjin University of Technology,2.6
227,北京石油化工学院,Beijing Institute of Petrochemical Technology,2.375
227,成都理工大学工程技术学院,The Engineering&Technical College of Chengdu University of Technology,2.375
227,重庆邮电大学,Chongqing University of Posts and Telecommunications,2.375
227,广东工商职业技术大学,Guangdong University of Business and Technology,2.375
227,海军大连舰艇学院,PLA Dalian Naval Academy,2.375
227,湖南工程学院,Hunan Institute of Engineering,2.375
227,武汉华夏理工学院,Wuhan Huaxia Institute of Technology,2.375
227,西南林业大学,Southwest Forestry University,2.375
227,西浦创业家学院（太仓）,"Xi'an Jiaotong-Liverpool University, Entrepreneur College (Taicang)",2.375
227,新疆大学,Xinjiang University,2.375
237,陆军边海防学院,Army Academy of Border and Coastal Defense,2.359
238,华北电力大学,North China Electric Power University,2.275
238,吉利学院,Geely University of China,2.275
238,江苏科技大学,Jiangsu University of Science and Technology,2.275
238,西安工业大学,Xi'an Technological University,2.275
242,德州农工大学,Texas A&M University,2.25
242,弗吉尼亚理工大学,Virginia Tech,2.25
242,关东联合大学,Kanto Universities Alliance,2.25
242,麦克马斯特大学,McMaster University,2.25
242,普渡大学,Purdue University,2.25
247,河北建筑工程学院,Hebei University of Architecture,2.225
248,重庆交通大学,Chongqing Jiaotong University,2.125
248,广西师范大学,Guangxi Normal University,2.125
248,湖北科技学院,Hubei University of Science and Technology,2.125
248,江苏海洋大学,Jiangsu Ocean University,2.125
248,江西工程学院,Jiangxi University of Engineering,2.125
248,南京航空航天大学（天目湖校区）,"Nanjing University of Aeronautics and Astronautics, Tianmuhu Campus",2.125
248,南京邮电大学,Nanjing University of Posts and Telecommunications,2.125
248,沈阳工业大学,Shenyang University of Technology,2.125
248,沈阳工业大学辽阳分校,"Shenyang University of Technology, Liaoyang Campus",2.125
248,石河子大学,Shihezi University,2.125
248,台州学院,Taizhou University,2.125
259,陆军边海防学院昆明校区,"Army Border and Coastal Defense Academ, Kunming Campus",1.824
260,柳州工学院,Liuzhou Institute of Technology,1.725
261,长春大学,Changchun University,1.275
262,北京交通大学（威海校区）,Beijing Jiaotong University Weihai Campus,0.95
262,淮阴工学院,Huaiyin Institute of Technology,0.95
264,江西冶金职业技术学院,Jiangxi Metallurgical Vocational and Technical College,0.85
264,宁波大学,Ningbo University,0.85
264,青海大学,Qinghai University,0.85
264,山东大学,Shan Dong University,0.85
264,中原工学院,Zhongyuan University of Technology,0.85
