team_key,school_key,college_name,team_name,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score,shape_rank,program_base_theta,prior_delta_theta,regional_pre_theta,regional_pre_rating,pre_signal_sd_theta,pre_signal_sd_rating,rmuc_history_strength,beta_perf,mu0,sigma0
东北大学::TDT,东北大学,东北大学,TDT,北部赛区,北部赛区,1,tier1,1884,3,22.7,8,2.660080302973965,0.3982389452890796,3.0583192482630444,1912.873098515511,0.2919926764169434,39.41901131628735,0.8590366593319205,1.8179707527160645,1912.873098515511,39.41901131628735
哈尔滨工业大学::I Hiter,哈尔滨工业大学,哈尔滨工业大学,I Hiter,北部赛区,北部赛区,2,tier1,1884,9,19.3,23,1.3146143954138971,0.09802577059209977,1.4126401660059968,1690.7064224108096,0.3649908455211792,49.273764145359195,0.894351999515126,1.8179707527160645,1690.7064224108096,49.273764145359195
西安交通大学::笃行,西安交通大学,西安交通大学,笃行,北部赛区,北部赛区,3,tier1,1884,10,18.8,1,1.759032414402651,0.3155679914850458,2.074600405887697,1780.071054794839,0.2919926764169434,39.41901131628735,0.8965882469634471,1.8179707527160645,1780.071054794839,39.41901131628735
哈尔滨工业大学（威海）::HERO,哈尔滨工业大学（威海）,哈尔滨工业大学（威海）,HERO,北部赛区,北部赛区,4,tier1,1884,15,17.2,28,1.5035279908793058,0.3059122920025719,1.8094402828818776,1744.2744381890534,0.2919926764169434,39.41901131628735,0.8971216330956874,1.8179707527160645,1744.2744381890534,39.41901131628735
大连理工大学::凌BUG,大连理工大学,大连理工大学,凌BUG,北部赛区,北部赛区,5,tier1,1884,16,17.18,41,1.2442184612141836,0.034252959650803716,1.2784714208649872,1672.5936418167732,0.2919926764169434,39.41901131628735,0.914134808624304,1.8179707527160645,1672.5936418167732,39.41901131628735
太原工业学院::火线,太原工业学院,太原工业学院,火线,北部赛区,北部赛区,6,tier1,1884,17,17.0,13,2.4449817393214364,0.359780483630805,2.8047622229522413,1878.6429000985527,0.2919926764169434,39.41901131628735,0.8877677103367423,1.8179707527160645,1878.6429000985527,39.41901131628735
吉林大学::TARS Go,吉林大学,吉林大学,TARS Go,北部赛区,北部赛区,7,tier1,1884,23,14.9,56,1.5319431970008317,-0.0325241843725246,1.4994190126283071,1702.4215667048215,0.2919926764169434,39.41901131628735,0.8814844886892202,1.8179707527160645,1702.4215667048215,39.41901131628735
哈尔滨工程大学::创梦之翼,哈尔滨工程大学,哈尔滨工程大学,创梦之翼,北部赛区,北部赛区,8,tier1,1884,25,14.78,52,0.9228350542091197,-0.1962168168807644,0.7266182373283553,1598.093462039328,0.2919926764169434,39.41901131628735,0.8117960964262116,1.8179707527160645,1598.093462039328,39.41901131628735
同济大学::SuperPower,同济大学,同济大学,SuperPower,北部赛区,北部赛区,9,tier2,1884,27,14.4,18,2.301007218761056,0.09001213380507951,2.391019352566136,1822.7876125964283,0.2919926764169434,39.41901131628735,0.919811876787974,1.8179707527160645,1822.7876125964283,39.41901131628735
西安电子科技大学::IRobot,西安电子科技大学,西安电子科技大学,IRobot,北部赛区,北部赛区,10,tier2,1884,35,12.965,67,1.2231680242484841,0.5342657061012804,1.7574337303497645,1737.2535535972181,0.2919926764169434,39.41901131628735,0.632650820401748,1.8179707527160645,1737.2535535972181,39.41901131628735
西北工业大学::WMJ,西北工业大学,西北工业大学,WMJ,北部赛区,北部赛区,11,tier2,1884,36,12.5,9,1.9201487056233595,0.22489967002099542,2.145048375644355,1789.5815307119879,0.2919926764169434,39.41901131628735,0.9166728548082341,1.8179707527160645,1789.5815307119879,39.41901131628735
北京理工大学::追梦,北京理工大学,北京理工大学,追梦,北部赛区,北部赛区,12,tier2,1884,43,11.3,11,0.35870513525608616,0.5868034847536469,0.945508620009733,1627.643663701314,0.2919926764169434,39.41901131628735,0.5815854146393442,1.8179707527160645,1627.643663701314,39.41901131628735
应急管理大学::风暴,应急管理大学,应急管理大学,风暴,东部赛区,北部赛区,13,tier2,1884,44,11.28,6,1.0993737272706299,0.3691149868221424,1.4684887140927723,1698.2459764025243,0.2919926764169434,39.41901131628735,0.8670211385276639,1.8179707527160645,1698.2459764025243,39.41901131628735
北方工业大学::DreamTeam,北方工业大学,北方工业大学,DreamTeam,北部赛区,北部赛区,14,tier2,1884,45,11.0,31,0.8890771269798279,0.06018766080097553,0.9492647877808034,1628.1507463504086,0.2919926764169434,39.41901131628735,0.922443680791967,1.8179707527160645,1628.1507463504086,39.41901131628735
