season,event_code,league,zone_name,stage_bucket,group_name,match_id,match_type,order_number,plan_game_count,plan_started_at,match_date,result,red_team_id,red_team_name,red_college_name,red_side_score,red_side_win_game_count,blue_team_id,blue_team_name,blue_college_name,blue_side_score,blue_side_win_game_count,winner_team_id,winner_team_name,winner_college_name,winner_side
2026,2026RMUL,RMUL,重庆站,knockout,,29962,KNOCKOUT,61,3,2026-03-29T07:10:00Z,2026-03-29,BLUE,116,WMJ,西北工业大学,0,1,71,IRobot,西安电子科技大学,0,2,71,IRobot,西安电子科技大学,blue
2026,2026RMUL,RMUL,重庆站,knockout,,29964,KNOCKOUT,63,3,2026-03-29T09:00:00Z,2026-03-29,BLUE,116,WMJ,西北工业大学,0,0,698,笃行,西安交通大学,0,2,698,笃行,西安交通大学,blue
2026,2026RMUL,RMUL,东北站,group,B,28328,GROUP,17,2,2026-03-28T00:50:00Z,2026-03-28,BLUE,144,Horizon,华北理工大学,0,0,17,TDT,东北大学,3,2,17,TDT,东北大学,blue
2026,2026RMUL,RMUL,东北站,group,D,28330,GROUP,19,2,2026-03-28T01:30:00Z,2026-03-28,TIE,692,TCN,辽宁石油化工大学,1,1,29,火线,太原工业学院,1,1,,,,
2026,2026RMUL,RMUL,东北站,group,E,28331,GROUP,20,2,2026-03-28T01:50:00Z,2026-03-28,RED,50,Ambition,沈阳理工大学,3,2,65,I Hiter,哈尔滨工业大学,0,0,50,Ambition,沈阳理工大学,red
2026,2026RMUL,RMUL,东北站,group,G,28333,GROUP,22,2,2026-03-28T02:30:00Z,2026-03-28,BLUE,688,征龙凌沧,东北大学秦皇岛分校,0,0,239,凌BUG,大连理工大学,3,2,239,凌BUG,大连理工大学,blue
2026,2026RMUL,RMUL,东北站,knockout,,28402,KNOCKOUT,46,3,2026-03-29T00:10:00Z,2026-03-29,RED,42,DreamTeam,北方工业大学,0,2,144,Horizon,华北理工大学,0,0,42,DreamTeam,北方工业大学,red
2026,2026RMUL,RMUL,东北站,knockout,,28404,KNOCKOUT,48,3,2026-03-29T01:00:00Z,2026-03-29,RED,50,Ambition,沈阳理工大学,0,2,8,创梦之翼,哈尔滨工程大学,0,1,50,Ambition,沈阳理工大学,red
2026,2026RMUL,RMUL,东北站,knockout,,28407,KNOCKOUT,51,3,2026-03-29T02:15:00Z,2026-03-29,BLUE,692,TCN,辽宁石油化工大学,0,0,3091,TARS Go,吉林大学,0,2,3091,TARS Go,吉林大学,blue
2026,2026RMUL,RMUL,东北站,knockout,,28410,KNOCKOUT,54,3,2026-03-29T04:30:00Z,2026-03-29,BLUE,42,DreamTeam,北方工业大学,0,0,29,火线,太原工业学院,0,2,29,火线,太原工业学院,blue
2026,2026RMUL,RMUL,东北站,knockout,,28411,KNOCKOUT,55,3,2026-03-29T04:55:00Z,2026-03-29,RED,50,Ambition,沈阳理工大学,0,2,688,征龙凌沧,东北大学秦皇岛分校,0,0,50,Ambition,沈阳理工大学,red
2026,2026RMUL,RMUL,东北站,knockout,,28412,KNOCKOUT,56,3,2026-03-29T05:20:00Z,2026-03-29,RED,17,TDT,东北大学,0,2,3091,TARS Go,吉林大学,0,0,17,TDT,东北大学,red
2026,2026RMUL,RMUL,东北站,knockout,,28414,KNOCKOUT,58,3,2026-03-29T07:10:00Z,2026-03-29,RED,29,火线,太原工业学院,0,2,50,Ambition,沈阳理工大学,0,0,29,火线,太原工业学院,red
2026,2026RMUL,RMUL,东北站,knockout,,28417,KNOCKOUT,61,3,2026-03-29T09:25:00Z,2026-03-29,BLUE,29,火线,太原工业学院,0,0,17,TDT,东北大学,0,2,17,TDT,东北大学,blue
2026,2026RMUL,RMUL,江苏站,group,A,28036,GROUP,29,2,2026-03-28T06:40:00Z,2026-03-28,BLUE,93,GMaster,西交利物浦大学,0,0,4,Alliance,南京理工大学,3,2,4,Alliance,南京理工大学,blue
2026,2026RMUL,RMUL,江苏站,group,B,28029,GROUP,22,2,2026-03-28T03:20:00Z,2026-03-28,RED,28,CUBOT,中国矿业大学,3,2,3021,Aurora,江苏大学,0,0,28,CUBOT,中国矿业大学,red
2026,2026RMUL,RMUL,江苏站,group,C,28010,GROUP,3,2,2026-03-27T07:40:00Z,2026-03-27,RED,2752,珞珈狐,武汉大学,3,2,245,3SE,东南大学,0,0,2752,珞珈狐,武汉大学,red
2026,2026RMUL,RMUL,江苏站,group,C,28018,GROUP,11,2,2026-03-27T11:20:00Z,2026-03-27,RED,3059,SHARK,江南大学霞客湾校区,3,2,207,RCS,厦门大学,0,0,3059,SHARK,江南大学霞客湾校区,red
2026,2026RMUL,RMUL,江苏站,group,C,28024,GROUP,17,2,2026-03-28T01:40:00Z,2026-03-28,RED,2752,珞珈狐,武汉大学,3,2,207,RCS,厦门大学,0,0,2752,珞珈狐,武汉大学,red
2026,2026RMUL,RMUL,江苏站,group,C,28030,GROUP,23,2,2026-03-28T03:40:00Z,2026-03-28,BLUE,245,3SE,东南大学,0,0,3059,SHARK,江南大学霞客湾校区,3,2,3059,SHARK,江南大学霞客湾校区,blue
2026,2026RMUL,RMUL,江苏站,group,C,28038,GROUP,31,2,2026-03-28T07:20:00Z,2026-03-28,BLUE,207,RCS,厦门大学,0,0,245,3SE,东南大学,3,2,245,3SE,东南大学,blue
2026,2026RMUL,RMUL,江苏站,group,C,28041,GROUP,34,2,2026-03-28T08:20:00Z,2026-03-28,RED,3059,SHARK,江南大学霞客湾校区,3,2,2752,珞珈狐,武汉大学,0,0,3059,SHARK,江南大学霞客湾校区,red
2026,2026RMUL,RMUL,江苏站,group,D,28011,GROUP,4,2,2026-03-27T08:00:00Z,2026-03-27,BLUE,2783,Combat,南京理工大学江阴校区,0,0,195,Hello World,浙江大学,3,2,195,Hello World,浙江大学,blue
2026,2026RMUL,RMUL,江苏站,group,E,28043,GROUP,36,2,2026-03-28T09:00:00Z,2026-03-28,TIE,170,PFA,厦门理工学院,1,1,782,木鸢Birdiebot,上海工程技术大学,1,1,,,,
2026,2026RMUL,RMUL,江苏站,knockout,,29008,KNOCKOUT,43,3,2026-03-29T00:10:00Z,2026-03-29,BLUE,4,Alliance,南京理工大学,0,1,28,CUBOT,中国矿业大学,0,2,28,CUBOT,中国矿业大学,blue
2026,2026RMUL,RMUL,江苏站,knockout,,29009,KNOCKOUT,44,3,2026-03-29T00:35:00Z,2026-03-29,BLUE,2752,珞珈狐,武汉大学,0,1,195,Hello World,浙江大学,0,2,195,Hello World,浙江大学,blue
2026,2026RMUL,RMUL,江苏站,knockout,,29010,KNOCKOUT,45,3,2026-03-29T01:00:00Z,2026-03-29,BLUE,170,PFA,厦门理工学院,0,1,95,Passion,南昌大学,0,2,95,Passion,南昌大学,blue
2026,2026RMUL,RMUL,江苏站,knockout,,29011,KNOCKOUT,46,3,2026-03-29T01:25:00Z,2026-03-29,RED,3110,PKA,福建师范大学,0,2,2774,苍侠,福建理工大学,0,0,3110,PKA,福建师范大学,red
2026,2026RMUL,RMUL,江苏站,knockout,,29013,KNOCKOUT,48,3,2026-03-29T02:15:00Z,2026-03-29,BLUE,2783,Combat,南京理工大学江阴校区,0,0,3059,SHARK,江南大学霞客湾校区,0,2,3059,SHARK,江南大学霞客湾校区,blue
2026,2026RMUL,RMUL,江苏站,knockout,,29016,KNOCKOUT,51,3,2026-03-29T04:30:00Z,2026-03-29,BLUE,28,CUBOT,中国矿业大学,0,0,195,Hello World,浙江大学,0,2,195,Hello World,浙江大学,blue
2026,2026RMUL,RMUL,江苏站,knockout,,29017,KNOCKOUT,52,3,2026-03-29T04:55:00Z,2026-03-29,BLUE,95,Passion,南昌大学,0,0,3110,PKA,福建师范大学,0,2,3110,PKA,福建师范大学,blue
2026,2026RMUL,RMUL,江苏站,knockout,,29020,KNOCKOUT,55,3,2026-03-29T07:10:00Z,2026-03-29,RED,195,Hello World,浙江大学,0,2,3110,PKA,福建师范大学,0,0,195,Hello World,浙江大学,red
2026,2026RMUL,RMUL,江苏站,knockout,,29023,KNOCKOUT,58,3,2026-03-29T09:25:00Z,2026-03-29,RED,195,Hello World,浙江大学,0,2,3059,SHARK,江南大学霞客湾校区,0,0,195,Hello World,浙江大学,red
2026,2026RMUL,RMUL,华北站,knockout,,29199,KNOCKOUT,64,3,2026-04-05T08:55:00Z,2026-04-05,RED,92,NewMaker,太原科技大学,0,2,164,风暴,华北科技学院,0,1,92,NewMaker,太原科技大学,red
2026,2026RMUL,RMUL,上海站,group,A,29664,GROUP,17,2,2026-04-04T00:30:00Z,2026-04-04,TIE,786,PHOENIX,杭州电子科技大学,1,1,145,TCR,厦门大学嘉庚学院,1,1,,,,
2026,2026RMUL,RMUL,上海站,group,D,29667,GROUP,20,2,2026-04-04T01:30:00Z,2026-04-04,BLUE,66,SRM,上海大学,0,0,2780,起源,华东理工大学,3,2,2780,起源,华东理工大学,blue
2026,2026RMUL,RMUL,上海站,group,G,29686,GROUP,39,2,2026-04-04T08:50:00Z,2026-04-04,TIE,240,Nautilus,武汉工程大学,1,1,3117,星云EGA,复旦大学,1,1,,,,
2026,2026RMUL,RMUL,上海站,knockout,,29635,KNOCKOUT,52,3,2026-04-05T01:25:00Z,2026-04-05,BLUE,3117,星云EGA,复旦大学,0,1,183,Born of Fire,南京航空航天大学金城学院,0,2,183,Born of Fire,南京航空航天大学金城学院,blue
2026,2026RMUL,RMUL,上海站,knockout,,29637,KNOCKOUT,54,3,2026-04-05T02:15:00Z,2026-04-05,BLUE,66,SRM,上海大学,0,0,148,交龙,上海交通大学,0,2,148,交龙,上海交通大学,blue
2026,2026RMUL,RMUL,上海站,knockout,,29640,KNOCKOUT,57,3,2026-04-05T04:30:00Z,2026-04-05,BLUE,145,TCR,厦门大学嘉庚学院,0,0,2780,起源,华东理工大学,0,2,2780,起源,华东理工大学,blue
2026,2026RMUL,RMUL,上海站,knockout,,29641,KNOCKOUT,58,3,2026-04-05T04:55:00Z,2026-04-05,BLUE,141,SuperPower,同济大学,0,1,183,Born of Fire,南京航空航天大学金城学院,0,2,183,Born of Fire,南京航空航天大学金城学院,blue
2026,2026RMUL,RMUL,上海站,knockout,,29644,KNOCKOUT,61,3,2026-04-05T07:10:00Z,2026-04-05,BLUE,2780,起源,华东理工大学,0,1,183,Born of Fire,南京航空航天大学金城学院,0,2,183,Born of Fire,南京航空航天大学金城学院,blue
2026,2026RMUL,RMUL,上海站,knockout,,29645,KNOCKOUT,62,3,2026-04-05T07:35:00Z,2026-04-05,BLUE,148,交龙,上海交通大学,0,0,240,Nautilus,武汉工程大学,0,2,240,Nautilus,武汉工程大学,blue
2026,2026RMUL,RMUL,上海站,knockout,,29646,KNOCKOUT,63,3,2026-04-05T09:00:00Z,2026-04-05,RED,2780,起源,华东理工大学,0,2,148,交龙,上海交通大学,0,1,2780,起源,华东理工大学,red
2026,2026RMUL,RMUL,上海站,knockout,,29647,KNOCKOUT,64,3,2026-04-05T09:25:00Z,2026-04-05,BLUE,183,Born of Fire,南京航空航天大学金城学院,0,0,240,Nautilus,武汉工程大学,0,2,240,Nautilus,武汉工程大学,blue
2026,2026RMUL,RMUL,四川站,group,A,29982,GROUP,17,2,2026-04-04T00:30:00Z,2026-04-04,TIE,2758,PnX,香港科技大学（广州）,1,1,1578,火锅,四川大学,1,1,,,,
2026,2026RMUL,RMUL,四川站,group,G,29972,GROUP,7,2,2026-04-03T09:00:00Z,2026-04-03,BLUE,142,HerKules,香港大学,0,0,2157,VANGUARD,华南师范大学（佛山校区）,3,2,2157,VANGUARD,华南师范大学（佛山校区）,blue
2026,2026RMUL,RMUL,四川站,knockout,,30187,KNOCKOUT,52,3,2026-04-05T01:25:00Z,2026-04-05,BLUE,2157,VANGUARD,华南师范大学（佛山校区）,0,0,18,奇点,仲恺农业工程学院,0,2,18,奇点,仲恺农业工程学院,blue
2026,2026RMUL,RMUL,四川站,knockout,,30188,KNOCKOUT,53,3,2026-04-05T01:50:00Z,2026-04-05,RED,178,群星,桂林理工大学,0,2,1578,火锅,四川大学,0,0,178,群星,桂林理工大学,red
2026,2026RMUL,RMUL,四川站,knockout,,30194,KNOCKOUT,59,3,2026-04-05T05:20:00Z,2026-04-05,RED,178,群星,桂林理工大学,0,2,840,Helios,西南交通大学,0,0,178,群星,桂林理工大学,red
